지역,요일,시간,장소,집합장소,집합장소(구글맵),주차장
용인,월요일,오후 7:40,용인아르피아,축구골대 뒤(용인청년lab 방향),"37.326483, 127.105111",아르피아 주차장
부산 구덕,월요일,오후 7:40,구덕운동장,구덕운동장,"35.11647, 129.0152",구덕운동장 주차장
신촌,화요일,오후 7:40,망원유수지 체육공원,족구장,"37.558239, 126.896905","마포구민체육센터 주차장
망원나들목공영주차장B"
부산 사직,수요일,오후 7:40,사직종합운동장,체조체육관,"35.190741, 129.055051",양정모금메달획득기념종합실내훈련장
하남,수요일,오후 7:40,하남종합운동장,본부석 앞 스텐드(우측),"37.5659571, 127.1934954",하남종합운동장제3주차장
양산,목요일,오후 7:40,양산종합운동장,양산종합운동장,"35.34479, 129.0328",양산종합운동장주차장
부천,목요일,오후 7:40,부천종합운동장,2층 W-다,"37.502688, 126.797834",부천종합운동장주차장
수원,목요일,오후 7:40,성균관대학교,농구코트,"37.2956495 , 126.9708945","일월저수지후문주차장
율전제2공영주차장"
부산 서면,목요일,오후 7:40,롯데백화점(서면),10층-샤롯데 공원,"35.156739, 129.056338",롯데백화점 부산본점
반포,금요일,오후 7:40,반포종합운동장,스텐드(화장실 방향),"37.5009596, 126.9935642",반포종합운동장주차장
잠실,토요일,오전 7:00,대치유수지 체육공원,스텐드(우측),"37.503343, 127.078483",대치유수지체육공원 노상공영주차장
의정부,토요일,오전 7:00,의정부종합운동장,800m 트랙 앞,"37.757114, 127.028923",의정부종합운동장주차장1
목동,토요일,오전 7:00,목동종합운동장,주경기장 4번게이트 일대,"37.518435, 126.880571",목동종합운동장 
인천,일요일,오전 7:00,인하대학교,스텐드(좌측),"37.450314, 126.650967",인하대학교주차장(유로)
파주/고양,일요일,오전 7:00,운정건강공원,암벽장 앞 스탠드,"37.715282, 126.744262","운정건강공원주차장
운정다목적체육관주차장"
해운대,토요일,오전 7:00,동백섬,동백공원공영주차장,"35.155832, 129.151781",동백공원공영주차장
